Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,222.529999,223.000000,214.809998,217.690002,211.605301,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,211.809433,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,206.317352,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,212.188538,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,213.481339,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,211.410889,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,208.922440,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,210.293045,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,207.065842,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,206.706192,31746500
2021-01-19,213.750000,216.979996,212.630005,216.440002,210.390244,30480900
2021-01-20,217.699997,225.789993,217.289993,224.339996,218.069443,37777300
2021-01-21,224.699997,226.300003,222.419998,224.970001,218.681824,30709400
2021-01-22,227.080002,230.070007,225.800003,225.949997,219.634430,30172700
2021-01-25,229.119995,229.779999,224.220001,229.529999,223.114365,33152100
2021-01-26,231.860001,234.179993,230.080002,232.330002,225.836090,49169600
2021-01-27,238.000000,240.440002,230.139999,232.899994,226.390182,69870600
2021-01-28,235.610001,242.639999,235.089996,238.929993,232.251648,49111200
2021-01-29,235.990005,238.020004,231.350006,231.960007,225.476440,42503100
2021-02-01,235.059998,242.500000,232.429993,239.649994,232.951508,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,232.815369,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,236.207870,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,235.245544,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,235.430222,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,235.692673,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,236.956360,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,236.032913,22186700
